BatchNo,AreaPattern,Count
波次1,"(7, 2, 7, 8, 9, 12, 14)",1.0
波次1,"(7, 2, 3, 4, 5, 7, 14)",1.0
波次1,"(7, 2, 3, 7, 8, 14, 17)",1.0
波次1,"(7, 2, 3, 9, 12, 13)",1.0
波次1,"(7, 3, 4, 5, 9, 11, 13)",1.0
波次1,"(7, 4, 8, 9, 11, 14)",1.0
波次1,"(7, 2, 7, 11, 12, 13, 14)",1.0
波次1,"(7, 3, 8, 9, 12, 13)",1.0
波次1,"(7, 7, 8, 9, 14, 17)",1.0
波次1,"(7, 3, 5, 7, 11, 12, 13)",1.0
波次1,"(7, 5, 7, 11, 14, 17)",1.0
波次1,"(7, 2, 3, 7, 8, 9, 12)",1.0
波次1,"(7, 4, 5, 7, 11, 13, 14)",1.0
波次1,"(7, 5, 9, 11, 12, 14)",1.0
波次1,"(7, 2, 9, 11, 13, 17)",1.0
波次1,"(7, 2, 3, 5, 11, 17)",1.0
波次1,"(7, 5, 7, 8, 9, 11, 12)",1.0
波次1,"(7, 2, 4, 5, 7, 14)",1.0
波次1,"(2, 2, 13)",1.0
波次1,"(2, 2, 7)",85.0
波次1,"(2, 2, 6)",60.0
波次1,"(2, 2, 5)",44.0
波次1,"(2, 2, 9)",63.0
波次1,"(2, 6, 11)",32.0
波次1,"(2, 2, 8)",86.0
波次1,"(2, 3, 6)",29.0
波次1,"(2, 6, 14)",10.0
波次2,"(6, 1, 4, 5, 6, 12, 16)",1.0
波次2,"(6, 1, 4, 5, 6, 16, 17)",1.0
波次2,"(8, 1, 4, 13, 14, 15, 16, 17)",1.0
波次2,"(8, 4, 8, 11, 12, 13, 16, 17)",1.0
波次2,"(8, 1, 2, 3, 4, 11, 12, 15)",2.0
波次2,"(8, 1, 2, 12, 13, 14, 15)",1.0
波次2,"(8, 2, 4, 8, 11, 13, 15, 17)",2.0
波次2,"(8, 1, 2, 4, 7, 8, 11, 16)",1.0
波次2,"(8, 4, 8, 11, 12, 16, 17)",2.0
波次2,"(8, 3, 4, 8, 12, 16, 17)",2.0
波次2,"(8, 1, 4, 8, 13, 14, 15)",1.0
波次2,"(8, 1, 4, 6, 8, 13, 15)",1.0
波次2,"(8, 2, 3, 4, 8, 11, 16, 17)",1.0
波次2,"(8, 1, 2, 3, 4, 8, 11, 16)",2.0
波次2,"(8, 2, 4, 7, 11, 12, 13, 15)",1.0
波次2,"(8, 3, 8, 12, 14, 16, 17)",1.0
波次2,"(8, 2, 3, 4, 8, 12, 15)",1.0
波次2,"(8, 3, 7, 11, 12, 16, 17)",1.0
波次2,"(8, 1, 4, 5, 13, 15, 16, 17)",1.0
波次2,"(8, 1, 4, 8, 11, 12, 15)",1.0
波次2,"(8, 1, 2, 4, 9, 11, 16)",1.0
波次2,"(8, 4, 9, 11, 12, 14, 16)",2.0
波次2,"(8, 3, 7, 8, 12, 16)",1.0
波次2,"(8, 4, 5, 11, 12, 14, 15, 16)",1.0
波次2,"(8, 1, 2, 4, 8, 12, 15)",1.0
波次2,"(8, 2, 8, 9, 15, 17)",1.0
波次2,"(8, 2, 4, 8, 11, 13, 16)",1.0
波次2,"(8, 2, 4, 8, 12, 15, 16, 17)",1.0
波次2,"(8, 4, 5, 9, 12, 15, 16)",1.0
波次2,"(8, 4, 5, 11, 14, 16, 17)",1.0
波次2,"(8, 1, 2, 7, 13, 16, 17)",1.0
波次2,"(8, 4, 8, 9, 11, 16, 17)",1.0
波次2,"(8, 1, 8, 12, 13, 14, 15)",1.0
波次2,"(8, 4, 8, 11, 13, 14, 16, 17)",1.0
波次2,"(8, 3, 7, 9, 12, 15, 17)",1.0
波次2,"(8, 1, 4, 7, 8, 14, 16, 17)",1.0
波次2,"(8, 2, 4, 11, 12, 13, 16)",1.0
波次2,"(8, 2, 3, 4, 9, 12, 16)",1.0
波次2,"(8, 2, 4, 7, 11, 12, 13, 16)",1.0
波次2,"(8, 1, 3, 5, 11, 12, 15, 17)",1.0
波次2,"(8, 2, 4, 9, 11, 12, 13, 15)",1.0
波次2,"(8, 1, 2, 7, 8, 12, 16)",1.0
波次2,"(8, 7, 8, 11, 12, 13, 15)",1.0
波次2,"(8, 1, 2, 8, 12, 15, 17)",1.0
波次2,"(8, 1, 4, 8, 12, 15, 17)",1.0
波次2,"(8, 7, 8, 12, 13, 15)",1.0
波次2,"(8, 4, 8, 9, 11, 14, 16, 17)",1.0
波次2,"(8, 4, 5, 8, 14, 15, 17)",1.0
波次2,"(8, 1, 3, 4, 5, 11, 15, 17)",1.0
波次2,"(8, 3, 4, 9, 12, 14, 15, 17)",1.0
波次2,"(8, 7, 13, 14, 15, 17)",1.0
波次2,"(8, 1, 8, 9, 12, 14, 16)",1.0
波次2,"(8, 2, 7, 11, 12, 14, 16)",1.0
波次2,"(8, 7, 9, 11, 12, 13, 15)",1.0
波次2,"(8, 4, 8, 9, 12, 13, 15, 16)",1.0
波次2,"(8, 1, 4, 5, 15, 17)",1.0
波次2,"(8, 1, 2, 3, 7, 15, 17)",1.0
波次2,"(8, 1, 3, 4, 5, 12, 14, 15)",1.0
波次2,"(8, 1, 2, 3, 5, 12, 16, 17)",1.0
波次2,"(8, 3, 4, 5, 15, 16, 17)",2.0
